DATE,OPEN,HIGH,LOW,CLOSE
10/20/2020,28.81,29.6,28.29,29.35
10/21/2020,29.12,30.55,28.37,28.65
10/22/2020,30.1,30.12,27.68,28.11
10/23/2020,28.47,28.67,27.26,27.55
10/26/2020,29.38,33.68,29.22,32.46
10/27/2020,32.04,33.77,31.85,33.35
10/28/2020,34.69,40.77,34.68,40.28
10/29/2020,38.8,41.16,35.63,37.59
10/30/2020,40.81,41.09,36.5,38.02
11/02/2020,38.57,38.78,36.13,37.13
11/03/2020,36.44,36.44,34.19,35.55
11/04/2020,36.79,36.85,28.03,29.57
11/05/2020,27.56,28.14,26.04,27.58
11/06/2020,27.87,29.44,24.56,24.86
11/09/2020,24.8,25.82,22.41,25.75
11/10/2020,25.36,26.77,24.35,24.8
11/11/2020,25.01,25.12,22.57,23.45
11/12/2020,24.39,27.27,23.53,25.35
11/13/2020,24.94,25.03,22.74,23.1
11/16/2020,23.66,24.08,22.43,22.45
11/17/2020,22.84,24.09,22.34,22.71
11/18/2020,22.86,23.92,21.66,23.84
11/19/2020,23.62,24.52,22.56,23.11
11/20/2020,23.43,23.73,22.13,23.7
11/23/2020,23.66,23.96,22.45,22.66
11/24/2020,22.04,22.48,20.8,21.64
11/25/2020,21.65,22.5,21.13,21.25
11/27/2020,21.52,21.6,19.51,20.84
11/30/2020,22.64,22.89,20.48,20.57
12/01/2020,20.21,20.92,20.0,20.77
12/02/2020,21.0,21.25,20.04,21.17
12/03/2020,21.24,21.88,20.72,21.28
12/04/2020,21.05,21.15,19.97,20.79
12/07/2020,22.04,22.62,21.17,21.3
12/08/2020,21.65,22.25,20.52,20.68
12/09/2020,20.66,22.93,20.1,22.27
12/10/2020,22.12,23.46,21.53,22.52
12/11/2020,22.49,25.14,22.48,23.31
12/14/2020,22.67,24.82,21.95,24.72
12/15/2020,24.0,24.07,22.73,22.89
12/16/2020,22.51,23.67,22.29,22.5
12/17/2020,21.98,22.27,21.52,21.93
12/18/2020,22.15,23.77,21.57,21.57
12/21/2020,24.25,31.46,24.23,25.16
12/22/2020,25.24,25.56,23.53,24.23
12/23/2020,23.49,23.68,22.13,23.31
12/24/2020,22.47,22.83,21.39,21.53
12/28/2020,22.11,22.12,21.15,21.7
12/29/2020,21.61,23.72,20.99,23.08
12/30/2020,22.58,23.15,22.41,22.77
12/31/2020,22.99,23.25,21.24,22.75
01/04/2021,23.04,29.19,22.56,26.97
01/05/2021,26.94,28.6,24.8,25.34
01/06/2021,25.48,26.77,22.14,25.07
01/07/2021,23.67,23.91,22.25,22.37
01/08/2021,22.43,23.34,21.42,21.56
01/11/2021,23.31,24.81,23.23,24.08
01/12/2021,23.49,25.15,22.83,23.33
01/13/2021,23.07,24.18,21.92,22.21
01/14/2021,22.22,23.47,21.66,23.25
01/15/2021,23.52,25.8,23.08,24.34
01/19/2021,23.03,23.56,22.53,23.24
01/20/2021,22.82,22.86,21.37,21.58
01/21/2021,21.34,22.22,21.09,21.32
01/22/2021,22.24,23.73,21.27,21.91
01/25/2021,22.31,26.63,22.2,23.19
01/26/2021,23.91,23.94,22.55,23.02
01/27/2021,23.82,37.21,23.71,37.21
01/28/2021,33.25,36.29,27.39,30.21
01/29/2021,35.16,37.51,29.24,33.09
02/01/2021,31.45,33.96,29.03,30.24
02/02/2021,28.01,28.08,25.31,25.56
02/03/2021,24.59,25.43,22.91,22.91
02/04/2021,23.44,23.44,21.68,21.77
02/05/2021,21.99,22.16,20.86,20.87
02/08/2021,21.89,22.07,21.23,21.24
02/09/2021,21.57,22.26,20.65,21.63
02/10/2021,21.64,23.85,19.69,21.99
02/11/2021,22.09,23.25,21.11,21.25
02/12/2021,21.6,22.45,19.95,19.97
02/16/2021,21.13,22.46,20.88,21.46
02/17/2021,22.02,23.44,21.09,21.5
02/18/2021,21.98,24.23,21.8,22.49
02/19/2021,23.1,23.19,20.84,22.05
02/22/2021,24.46,25.09,21.96,23.45
02/23/2021,22.82,27.01,22.5,23.11
02/24/2021,23.76,25.04,21.31,21.34
02/25/2021,21.73,31.16,21.52,28.89
02/26/2021,28.73,30.82,25.23,27.95
03/01/2021,25.2,25.39,23.17,23.35
03/02/2021,23.58,24.6,22.8,24.1
03/03/2021,22.8,26.79,22.45,26.67
03/04/2021,26.52,31.9,24.93,28.57
03/05/2021,29.48,30.03,24.33,24.66
03/08/2021,27.61,28.39,24.07,25.47
03/09/2021,25.11,25.25,22.9,24.03
03/10/2021,23.76,23.87,22.38,22.56
03/11/2021,22.5,22.5,21.45,21.91
03/12/2021,22.57,22.99,20.63,20.69
03/15/2021,21.84,21.86,19.87,20.03
03/16/2021,20.14,20.31,19.33,19.79
03/17/2021,20.1,20.95,19.18,19.23
03/18/2021,18.95,22.6,18.95,21.58
03/19/2021,21.43,23.17,19.9,20.95
03/22/2021,21.91,22.29,18.87,18.88
03/23/2021,19.46,21.58,18.8,20.3
03/24/2021,20.64,21.49,19.3,21.2
03/25/2021,20.8,23.55,19.81,19.81
03/26/2021,19.32,21.49,18.68,18.86
03/29/2021,20.4,21.6,19.42,20.74
03/30/2021,20.76,21.75,19.47,19.61
03/31/2021,19.8,20.11,18.85,19.4
04/01/2021,18.6,18.64,17.29,17.33
04/05/2021,18.16,18.4,17.35,17.91
04/06/2021,18.07,18.3,17.37,18.12
04/07/2021,17.99,18.17,16.87,17.16
04/08/2021,16.92,17.36,16.55,16.95
04/09/2021,17.05,17.34,16.2,16.69
04/12/2021,17.43,17.91,16.81,16.91
04/13/2021,16.99,17.86,16.43,16.65
04/14/2021,16.71,17.69,15.38,16.99
04/15/2021,16.78,16.92,15.94,16.57
04/16/2021,16.65,16.88,16.05,16.25
04/19/2021,17.04,18.61,16.78,17.29
04/20/2021,17.36,19.7,17.24,18.68
04/21/2021,18.48,19.29,16.91,17.5
04/22/2021,17.28,19.9,16.99,18.71
04/23/2021,18.56,18.78,16.8,17.33
04/26/2021,17.94,18.17,16.87,17.64
04/27/2021,17.62,18.16,16.97,17.56
04/28/2021,17.47,17.84,16.67,17.28
04/29/2021,16.88,18.87,16.77,17.61
04/30/2021,17.67,19.25,17.64,18.61
05/03/2021,18.65,19.12,17.8,18.31
05/04/2021,18.16,21.85,18.11,19.48
05/05/2021,18.84,19.58,17.89,19.15
05/06/2021,18.41,20.6,18.21,18.39
05/07/2021,18.45,18.57,16.68,16.69
05/10/2021,17.34,19.75,17.07,19.66
05/11/2021,21.17,23.73,20.71,21.84
05/12/2021,22.42,28.38,21.66,27.59
05/13/2021,26.03,28.93,22.23,23.13
05/14/2021,21.77,22.1,18.66,18.81
05/17/2021,19.89,21.58,19.67,19.72
05/18/2021,18.89,21.45,18.81,21.34
05/19/2021,22.46,25.96,21.88,22.18
05/20/2021,22.33,23.5,20.19,20.67
05/21/2021,20.42,20.89,19.53,20.15
05/24/2021,20.5,20.51,18.38,18.4
05/25/2021,18.35,19.29,16.87,18.84
05/26/2021,18.37,18.92,17.35,17.36
05/27/2021,18.03,18.17,16.52,16.74
05/28/2021,16.8,16.86,15.9,16.76
06/01/2021,17.24,18.53,15.68,17.9
06/02/2021,17.86,18.31,16.74,17.48
06/03/2021,17.73,19.27,17.45,18.04
06/04/2021,18.09,18.42,16.18,16.42
06/07/2021,17.34,17.35,15.78,16.42
06/08/2021,16.58,17.75,15.15,17.07
06/09/2021,17.18,17.96,15.55,17.89
06/10/2021,18.18,18.29,16.01,16.1
06/11/2021,16.18,16.2,15.15,15.65
06/14/2021,16.04,17.04,15.04,16.39
06/15/2021,16.27,17.35,16.14,17.02
06/16/2021,16.99,19.11,16.42,18.15
06/17/2021,18.49,19.22,16.71,17.75
